Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,SummaryQuote,Text
AAON,"AAON, Inc.",32.25,1701356490,0,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,"AAON, Inc., a Nevada corporation, (""AAON Nevada"") was incorporated on August 18,
1987. Our operating subsidiaries include AAON, Inc., an Oklahoma corporation,
and AAON Coil Products, Inc., a Texas corporation. Unless the context otherwise
requires, references in this Annual Report to ""AAON,"" the ""Company"", ""we"",
""us"", ""our"", or ""ours"" refer to AAON Nevada and our subsidiaries.

We are engaged in the manufacture and sale of air conditioning and heating
equipment consisting of rooftop units, chillers, packaged outdoor mechanical
rooms, air handling units, makeup air units, energy recovery units, condensing
units, geothermal heat pumps, self-contained units and coils.

Products and Markets

Our products serve the commercial and industrial new construction and
replacement markets. To date, our sales have been primarily to the domestic
market.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ABAX,"ABAXIS, Inc.",48.48,1092496800,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,"Abaxis, Inc. is a worldwide developer, manufacturer and marketer of portable
blood analysis systems that are used in a broad range of medical specialties in
human or veterinary patient care to provide clinicians with rapid blood
constituent measurements. Our mission is to improve the efficiency of care
delivery to and the quality of life of patients in the medical and veterinary
markets. We provide leading edge technology, tools and services that support
best medical practices, enabling physicians and veterinarians to respond to the
health needs of their clients at the point of care while operating economical
and profitable practices.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ABEO,Abeona Therapeutics Inc.,5,199797840,0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,"About Abeona: Abeona Therapeutics, Inc. develops and delivers gene therapy and plasma-based products for severe and life-threatening rare diseases. Abeona's lead programs are AB0-101 (AAV9 NAGLU) and ABO-102 (scAAV9 SGSH), adeno-associated virus (AAV)-based gene therapies for Sanfilippo syndrome (MPS IIIB and IIIA) in collaboration with patient advocate groups, researchers and clinicians, anticipated to commence clinical trials in 2015. We are also developing ABO-201 (scAAV9 CLN3) gene therapy for juvenile Batten disease (JBD); and ABO-301 (AAV LK19 FANCC) for Fanconi anemia (FA) disorder using a novel CRISPR/Cas9-based gene editing approach to gene therapy program for rare blood diseases. In addition, we are also developing rare plasma protein therapies including SDF Alpha(TM) (alpha-1 protease inhibitor) for inherited COPD using our proprietary SDF(TM) (Salt Diafiltration) ethanol-free process. For more information, visit www.abeonatherapeutics.com.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ABEOW,Abeona Therapeutics Inc.,3,0,0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,"Abeona Therapeutics Inc. (together with our subsidiaries, ""we"", ""our"", ""Abeona""
or the ""Company"") is a Delaware corporation. We are focused on developing and
delivering gene therapy and plasma-based products for severe and
life-threatening rare diseases. Abeona's lead programs are ABO-101 (AAV NAGLU)
and ABO-102 (AAV SGSH), adeno-associated virus (AAV)-based gene therapies for
Sanfilippo syndrome (MPS IIIB and IIIA, respectively). We are also developing
ABO-201 (AAV CLN3) gene therapy for Juvenile Neuronal Ceroid Lipofuscinoses
(JNCL) also known as juvenile Batten disease; and ABO-301 (AAV FANCC) for
Fanconi anemia (FA) disorder using a novel CRISPR/Cas9-based gene editing
approach to gene therapy program for rare blood diseases. In addition, we are
also developing rare plasma protein therapies including PTB-101 SDF Alpha(TM)
(alpha-1 protease inhibitor) for inherited COPD using our proprietary SDF(TM) (Salt
Diafiltration) ethanol-free process.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ABIL,Ability Inc.,3.38,87055759.96,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,"In this Annual Report on Form 10-K (this ""Form 10-K""), references to ""we,"" ""us""
and ""our"" refer to Cambridge Capital Acquisition Corporation.

 

Introduction

 

We are a Delaware blank check company incorporated on October 1, 2013 formed for
the purpose of entering into a merger, share exchange, asset acquisition, stock
purchase, recapitalization, reorganization or other similar business combination
with one or more target businesses. Our efforts to identify a prospective target
business were not limited to a particular industry or geographic region,
although we have focused our search on target businesses that operate in the
supply chain industry, with an emphasis on target businesses that operate in the
traditional transportation and logistics end of the supply chain industry.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ABMD,"ABIOMED, Inc.",112.21,4867781224.53,0,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,"We are a leading provider of temporary mechanical circulatory support devices
and we offer a continuum of care to heart failure patients. We develop,
manufacture and market proprietary products that are designed to enable the
heart to rest, heal and recover by improving blood flow to the coronary arteries
and end-organs and/or temporarily performing the pumping function of the heart.
Our products are used in the cardiac catheterization lab, or cath lab, by
interventional cardiologists, the electrophysiology lab, the hybrid lab and in
the heart surgery suite by heart surgeons. A physician may use our devices for
patients who are in need of hemodynamic support prophylactically or emergently
before, during or after angioplasty or heart surgery procedures. We believe that
heart recovery is the optimal clinical outcome for patients experiencing heart
failure because it enables patients to go home with their own native heart and
restores their quality of life.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
AXAS,Abraxas Petroleum Corporation,2.69,363419000,0,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,"We are an independent energy company primarily engaged in the acquisition,
exploration, development and production of oil and gas. At December 31, 2015,
our estimated net proved reserves were 43.2 MMBoe, of which 39.8% were
classified as proved developed, 71% were oil and NGL and 95% of which (on a
PV-10 basis) were operated by us. Our daily net production for the year ended
December 31, 2015 was 5,975 Boepd, of which 77% was oil or liquids. Abraxas
Petroleum Corporation was incorporated in Nevada in 1990. Our address is 18803
Meisner Drive, San Antonio, Texas 78258 and our phone number is (210) 490-4788.

Our oil and gas assets are located in three operating regions, the Rocky
Mountain, Permian Basin and onshore Gulf Coast.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACIU,AC Immune SA,12.65,700759931.3,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu,"We are a clinical stage biopharmaceutical company leveraging our two proprietary
technology platforms to discover, design and develop novel, proprietary
medicines for prevention, diagnosis and treatment of neurodegenerative diseases
associated with protein misfolding. Misfolded proteins are generally recognized
as the leading cause of neurodegenerative diseases, such as Alzheimer's disease,
or AD, and Parkinson's disease, or PD, with common mechanisms and drug targets,
such as Abeta, tau and alpha-synuclein. We believe that our large and diverse
pipeline of seven therapeutic candidates and three diagnostic candidates has the
potential to drive a paradigm shift in the treatment of a broad spectrum of
neurodegenerative and other diseases related to protein misfolding.

Our lead product candidate is crenezumab, a humanized, monoclonal,
conformation-specific anti-Abeta antibody that we developed using our
SupraAntigen(TM) platform.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACIA,"Acacia Communications, Inc.",63.29,2368492999.27,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia,"In addition to the measures presented in our consolidated financial statements,
we use the following key business metrics to evaluate our business, measure our
performance, identify trends affecting our business, formulate financial
projections and make strategic decisions.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACTG,Acacia Research Corporation,5.8,292687604,0,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,"Our operating subsidiaries partner with inventors and patent owners, applying
our legal and technology expertise to patent assets to unlock the financial
value in their patented inventions. We are an intermediary in the patent
marketplace, bridging the gap between invention and application, facilitating
efficiency and delivering monetary rewards to patent owners.

Our operating subsidiaries generate revenues and related cash flows from the
granting of intellectual property rights for the use of patented technologies
that our operating subsidiaries control or own. Our operating subsidiaries
assist patent owners with the prosecution and development of their patent
portfolios, the protection of their patented inventions from unauthorized use,
the generation of licensing revenue from users of their patented technologies
and, where necessary, with the enforcement against unauthorized users of their
patented technologies through the filing of patent infringement litigation.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACHC,"Acadia Healthcare Company, Inc.",38.19,3341651007.39,0,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,"Our business strategy is to acquire and develop behavioral healthcare facilities
and improve our operating results within our facilities and our other behavioral
healthcare operations. We strive to improve the operating results of our
facilities by providing high-quality services, expanding referral networks and
marketing initiatives while meeting the increased demand for behavioral
healthcare services through expansion of our current locations as well as
developing new services within existing locations. At December 31, 2015, we
operated 258 behavioral healthcare facilities with over 9,900 beds in 39 states,
the United Kingdom and Puerto Rico. During the year ended December 31, 2015, we
acquired 176 facilities with approximately 3,450 beds and added 670 new beds,
including 460 to existing facilities and 210 in two de novo facilities. On
February 16, 2016, we completed the acquisition of Priory Group No.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACAD,ACADIA Pharmaceuticals Inc.,31.43,3806608179.78,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,"We are a biopharmaceutical company focused on the development and
commercialization of innovative medicines to address unmet medical needs in
central nervous system disorders. We have a portfolio of product opportunities
led by our novel drug candidate, NUPLAZIDTM (pimavanserin), for which we have
reported positive Phase III pivotal trial results in Parkinson's disease
psychosis, or PDP, and which has the potential to be the first drug approved in
the United States for this condition. NUPLAZID is a selective serotonin inverse
agonist, or SSIA, preferentially targeting 5-HT2A receptors. Through this novel
mechanism, NUPLAZID has demonstrated significant efficacy in Parkinson's disease
psychosis in our Phase III pivotal trial and has the potential to avoid many of
the debilitating side effects of existing antipsychotics, none of which are
approved for use in PDP patients. We hold worldwide commercialization rights to
pimavanserin.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACST,"Acasti Pharma, Inc.",1.26,13497167.88,0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,"We were incorporated on February 1, 2002 under Part 1A of the Companies Act
(Qu̩bec) under the name ""9113-0310 Qu̩bec Inc"". On August 7, 2008, pursuant to a
Certificate of Amendment, we changed our name to ""Acasti Pharma Inc."", our share
capital, the provisions regarding the restrictions on securities transfers and
the borrowing powers of the Corporation. On November 7, 2008, pursuant to a
Certificate of Amendment, we further revised our provisions regarding our
borrowing powers. We became a reporting issuer in the Province of Qu̩bec on
November 17, 2008. On February 14, 2011, the Business Corporations Act (Qu̩bec)
came into effect and replaced the Companies Act (Qu̩bec). We are now governed by
the Business Corporations Act (Qu̩bec).
Our head office and registered office is located at 545 Promenade du
Centropolis, Suite 100, Laval, Qu̩bec H7T 0A3, and the phone number of our head
and registered office is (450) 687-2262. Our website address is
http://www.acastipharma.com.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
AXDX,"Accelerate Diagnostics, Inc.",21.35,1098178818.45,0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,"Accelerate Diagnostics, Inc. is an in vitro diagnostics company dedicated to
providing solutions that improve patient outcomes and lower healthcare costs
through the rapid diagnosis of serious infections. Microbiology laboratories are
in need of new tools to address what the U.S. Centers for Disease Control and
Prevention calls one of the most serious healthcare threats of our time,
antibiotic resistance. A significant contributing factor to the rise of
resistance is the overuse and misuse of antibiotics, which is exacerbated by a
lack of timely diagnostic results. The delay of these results is often due to
the reliance by microbiology laboratories on traditional culture-based tests
that often take two to three days to complete. Our technology platform is built
to address these challenges by delivering significantly faster and accurate
testing of infectious pathogens in various patient sample types.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
XLRN,Acceleron Pharma Inc.,24.44,922524533.32,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,"We are a clinical stage biopharmaceutical company focused on the discovery,
development and commercialization of novel therapeutic candidates that are based
on the mechanisms that the human body uses to regulate the growth and repair of
its cells and tissues. Our research focuses on key natural regulators of
cellular growth and repair, particularly the Transforming Growth Factor-Beta, or
TGF-beta, protein superfamily. We are a leading company in discovering and
developing therapeutic candidates that regulate cellular growth and repair. By
combining our discovery and development expertise, including our proprietary
knowledge of the TGF-beta superfamily, and our internal protein engineering and
manufacturing capabilities, we have built a highly productive discovery and
development platform that has generated innovative therapeutic candidates with
novel mechanisms of action.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ANCX,Access National Corporation,27.65,293374214.35,0,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,"Access National Corporation (the ""Corporation"" or ""ANC"") was organized June 15,
2002 under the laws of Virginia to operate as a bank holding company. The
Corporation has one active wholly owned subsidiary: Access National Bank (the
""Bank"" or ""ANB""). Effective June 15, 2002, pursuant to an Agreement and Plan of
Reorganization dated April 18, 2002 between the Corporation and the Bank, the
Corporation acquired all of the outstanding stock of the Bank in a statutory
share exchange transaction.

 

The Bank is the only operating business of the Corporation. The Bank provides
credit, deposit, mortgage services and wealth management services to middle
market commercial businesses and associated professionals, primarily in the
greater Washington, D.C. Metropolitan Area. The Bank was organized under federal
law in 1999 as a national banking association to engage in a general banking
business to serve the communities in and around Northern Virginia.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ARAY,Accuray Incorporated,5.3,432977606.4,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,"    Accuray Incorporated is a radiation oncology company that develops,
manufactures, sells and supports precise, innovative treatment solutions which
set the standard of radiation therapy care with the aim of helping patients live
longer, better lives. Our innovative technologies, the CyberKnife and
TomoTherapy Systems, are designed to deliver advanced treatments, including
stereotactic radiosurgery (SRS), stereotactic body radiation therapy (SBRT),
intensity modulated radiation therapy (IMRT), image guided radiation therapy
(IGRT), and adaptive radiation therapy. The CyberKnife Systems and the
TomoTherapy Systems have complementary clinical applications, enabling customers
to deliver the most precise treatments while minimizing side effects and
maximizing patient comfort and care. Each of these systems serves patient
populations treated by the same medical specialty, radiation oncology, with
advanced capabilities.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACRX,"AcelRx Pharmaceuticals, Inc.",2.7,122401233,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,"We are a specialty pharmaceutical company focused on the development and
commercialization of innovative therapies for the treatment of acute pain. Our
lead product candidates, ARX-04 and Zalviso, utilize sublingual sufentanil,
delivered via a non-invasive route of administration. We intend to commercialize
our product candidates in the United States and license the development and
commercialization rights to our product candidates for sale outside of the
United States through strategic partnerships and collaborations. We may also
consider the option to enter into strategic partnerships for our product
candidates in the United States.

 

We have chosen sufentanil as the therapeutic ingredient for all of our product
candidates. Opioids have been utilized for pain relief for centuries and are the
standard of care for the treatment of moderate-to-severe acute pain.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACET,Aceto Corporation,19.65,590508693.45,0,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,"Aceto Corporation, together with its consolidated subsidiaries, are referred to
herein collectively as ""Aceto"", ""the Company"", ""we"", ""us"", and ""our"", unless the
context indicates otherwise. Aceto was incorporated in 1947 in the State of New
York. We are an international company engaged in the marketing, sales and
distribution of finished dosage form generic pharmaceuticals, nutraceutical
products, pharmaceutical active ingredients and intermediates, specialty
performance chemicals inclusive of agricultural intermediates and agricultural
protection products. Our business is organized along product lines into three
principal segments: Human Health, Pharmaceutical Ingredients and Performance
Chemicals.

 

We believe our main business strengths are sourcing, regulatory support, quality
assurance and marketing and distribution.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
AKAO,"Achaogen, Inc.",18.84,658013376,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,"We are a clinical-stage biopharmaceutical company passionately committed to the
discovery, development, and commercialization of novel antibacterials to treat
multi-drug resistant, or MDR, gram-negative infections. We are developing
plazomicin, our lead product candidate, for the treatment of serious bacterial
infections due to MDR Enterobacteriaceae, including carbapenem-resistant
Enterobacteriaceae, or CRE. In 2013, the Centers for Disease Control and
Prevention identified CRE as a ""nightmare bacteria"" and an immediate public
health threat that requires ""urgent and aggressive action."" We initiated a
Phase 3 superiority trial of plazomicin in the first quarter of 2014. Through
the Special Protocol Assessment procedure, the U.S. Food and Drug
Administration, or FDA, has agreed that the design and planned analyses of our
single pivotal Phase 3 trial adequately address objectives in support of a New
Drug Application.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACHN,"Achillion Pharmaceuticals, Inc.",4.09,559024831.92,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,"We are a science-driven, patient-focused biopharmaceutical company seeking to
leverage our believed strengths across the continuum from discovery through
commercialization by discovering and developing small molecule therapeutics to
meet the needs of patients with infectious and complement-mediated diseases.

Our current focus is on our complement inhibitor platform, directed at advancing
small molecule compounds that have the potential to be used in the treatment of
immune-related diseases associated with the complement system. The complement
pathway is a part of the human innate immune system and is believed to comprise
three pathways, the alternative pathway, the lectin pathway and the classical
pathway. We are advancing novel small molecules from this platform which will
initially target complement factor D, an essential protein within the
amplification loop of the alternative pathway.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACIW,"ACI Worldwide, Inc.",18.88,2214420568,0,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,"ACI Worldwide, Inc. (""ACI"", ""ACI Worldwide"", the ""Company,"" ""we,"" ""us,"" or
""our"") is a Delaware corporation incorporated in November 1993 under the name
ACI Holding, Inc. ACI is largely the successor to Applied Communications, Inc.
and Applied Communications Inc. Limited, which we acquired from Tandem Computers
Incorporated on December 31, 1993. On July 24, 2007, we changed our corporate
name from ""Transaction Systems Architects, Inc."" to ""ACI Worldwide, Inc."" We
have been marketing our products and services under the ACI Worldwide brand
since 1993 and have gained significant market recognition under this brand name.

We develop, market, install and support a broad line of software products and
services primarily focused on facilitating electronic payments. In addition to
our own products, we distribute or act as a sales agent for software developed
by third parties.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACRS,"Aclaris Therapeutics, Inc.",27.75,722887083.75,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,"We are a clinical-stage specialty pharmaceutical company focused on identifying,
developing and commercializing innovative and differentiated drugs to address
significant unmet needs in dermatology. Our lead drug candidate, A-101 Topical
Solution, is a proprietary high-concentration hydrogen peroxide topical solution
that we are developing as a prescription treatment for seborrheic keratosis, or
SK, a common non-malignant skin tumor. We have completed three Phase 2 clinical
trials of A-101 in over 300 patients with SK. In these trials, following one or
two applications of A-101, we observed clinically relevant and statistically
significant improvements in clearing SK lesions on the face, trunk and
extremities of the body. In the first quarter of 2016, we initiated two
multi-center, double blind Phase 3 clinical trials and one open label Phase 3
clinical trial of A-101 in patients with SK.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
ACNB,ACNB Corporation,29.75,180316594.5,0,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,"    ACNB Corporation (the Corporation or ACNB) is a $1.1 billion financial
holding company headquartered in Gettysburg, Pennsylvania. Through its banking
and nonbanking subsidiaries, ACNB

                                       3

--------------------------------------------------------------------------------
  Table of Contents  

provides a full range of banking and financial services to individuals and
businesses, including commercial and retail banking, trust and investment
management, and insurance. ACNB's banking operations are conducted through its
primary operating subsidiary, ACNB Bank, with twenty-one retail banking offices
in Adams, Cumberland, Franklin and York Counties, Pennsylvania, as well as one
loan production office in York County, Pennsylvania, as of December 31, 2015.
The Corporation was formed in 1982, then became the holding company for Adams
County National Bank (now ACNB Bank) in 1983.&nbsp;&nbsp;... More ...&nbsp;&nbsp;
"
